,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3470,1336178,JJ FISH & CHICKEN,1305863.0,restaurant,2013-06-18,41.707421537783866,-87.5595028300987,2013,Restaurant
3471,1336151,MIDWAY AIRPORT CONCESSIONAIRES,1329932.0,restaurant,2013-06-18,41.79770707150579,-87.74869426106613,2013,Restaurant
3473,1336124,WING WAH LAU RESTAURANT,2020867.0,restaurant,2013-06-14,41.814554270530905,-87.70372129941862,2013,Restaurant
3474,1329344,CRAZY CALABRESE,2245892.0,restaurant,2013-06-13,41.9412421419016,-87.80700925680553,2013,Restaurant
3475,1336082,"MCDONALD'S REST. OF ILLINOIS, INC",1332910.0,restaurant,2013-06-13,41.92293104255376,-87.74611947794307,2013,Restaurant
3477,1329342,MARTINI CLUB AT MANOR BOWLING & BILLIARD,1270793.0,restaurant,2013-06-12,41.9375195593423,-87.76660696128712,2013,Restaurant
3478,1106617,Sol Ga Restaurant,1447275.0,restaurant,2013-06-11,41.987306873328,-87.70243592216174,2013,Restaurant
3479,1322543,COCKTAIL,2032669.0,restaurant,2013-06-11,41.94357316110511,-87.64922664095873,2013,Restaurant
3484,1151357,FATHER PEREZ K OF C CLUB HOUSE,69690.0,restaurant,2013-06-07,41.69158385086208,-87.70671869760828,2013,Restaurant
3487,1329330,RETRO CAFE RESTAURANT,1592391.0,restaurant,2013-06-06,41.94000063078428,-87.76669660556573,2013,Restaurant
3488,1198898,SAPORI,1124199.0,restaurant,2013-06-05,41.93157849671675,-87.64882493936558,2013,Restaurant
3489,1092490,A. J. HUDSON'S PUBLIC HOUSE,1248488.0,restaurant,2013-06-05,41.950735168842144,-87.66881290118066,2013,Restaurant
3490,1106603,NEW NAAN ON DEVON & GRILL,1927149.0,restaurant,2013-06-05,41.99767715851917,-87.68659940889371,2013,Restaurant
3492,1335899,RONNY'S,2074098.0,restaurant,2013-06-04,41.85773522836464,-87.66318100396168,2013,Restaurant
3494,1151341,WHAT'S POPPPIN,1592532.0,restaurant,2013-06-04,41.77931093233566,-87.68745502921446,2013,Restaurant
3497,1114853,FIORELLI PIZZA,2245201.0,restaurant,2013-05-31,41.88422707893843,-87.65151813840151,2013,Restaurant
3500,1335851,THE ORIGINAL GINO'S EAST,1488968.0,restaurant,2013-05-31,41.98740959681793,-87.84438866503623,2013,Restaurant
3503,1335841,"LA UNICA FOOD MART, INC.",491.0,restaurant grocery store,2013-05-31,41.99799345967903,-87.66842788571333,2013,Restaurant
3504,1106590,FUNGS INTERNATIONAL CUISINE,2262550.0,restaurant,2013-05-30,42.00780902250199,-87.66542847509838,2013,Restaurant
3507,1335861,DUFF'S DOGS,2138321.0,restaurant,2013-05-30,41.99294605509157,-87.80026922618272,2013,Restaurant
3508,1099003,SEOUL DAN LAN II,2245306.0,restaurant,2013-05-30,41.97459679112475,-87.69235541072091,2013,Restaurant
3510,1335809,EL POLLO JUGOSO,2157041.0,restaurant,2013-05-29,41.95384422496512,-87.70243677625855,2013,Restaurant
3512,1335786,IL VICINATO INC,6509.0,restaurant,2013-05-28,41.84738506264664,-87.68536343468041,2013,Restaurant
3513,1198886,WOK'S UP RESTAURANT,1093339.0,restaurant,2013-05-28,41.91336686461645,-87.6530507891693,2013,Restaurant
3515,1162234,Lee's Wok,2189315.0,restaurant,2013-05-28,41.90942295171615,-87.77073264988142,2013,Restaurant
3516,1343294,D CHILE,2262202.0,restaurant,2013-05-28,41.84431729748476,-87.71161124665909,2013,Restaurant
